max_depth,learning_rate,n_estimators,score,time
[CV 6/30] END base_estimator__max_depth=3, 0.035, 200, 0.733, 46.7s
[CV 7/30] END base_estimator__max_depth=3, 0.035, 200, 0.736, 46.0s
[CV 8/30] END base_estimator__max_depth=3, 0.035, 200, 0.746, 45.1s
[CV 9/30] END base_estimator__max_depth=3, 0.035, 200, 0.770, 45.9s
[CV 10/30] END base_estimator__max_depth=3, 0.035, 200, 0.744, 45.8s
[CV 11/30] END base_estimator__max_depth=3, 0.035, 200, 0.766, 44.0s
[CV 12/30] END base_estimator__max_depth=3, 0.035, 200, 0.749, 43.2s
[CV 13/30] END base_estimator__max_depth=3, 0.035, 200, 0.764, 43.7s
[CV 14/30] END base_estimator__max_depth=3, 0.035, 200, 0.765, 44.0s
[CV 15/30] END base_estimator__max_depth=3, 0.035, 200, 0.764, 43.3s
[CV 16/30] END base_estimator__max_depth=3, 0.035, 200, 0.745, 41.2s
[CV 17/30] END base_estimator__max_depth=3, 0.035, 200, 0.735, 41.2s
[CV 18/30] END base_estimator__max_depth=3, 0.035, 200, 0.744, 41.5s
[CV 19/30] END base_estimator__max_depth=3, 0.035, 200, 0.739, 41.4s
[CV 20/30] END base_estimator__max_depth=3, 0.035, 200, 0.755, 41.4s
[CV 21/30] END base_estimator__max_depth=3, 0.035, 200, 0.746, 41.4s
[CV 22/30] END base_estimator__max_depth=3, 0.035, 200, 0.746, 41.3s
[CV 23/30] END base_estimator__max_depth=3, 0.035, 200, 0.769, 40.8s
[CV 24/30] END base_estimator__max_depth=3, 0.035, 200, 0.783, 41.6s
[CV 25/30] END base_estimator__max_depth=3, 0.035, 200, 0.750, 41.6s
[CV 26/30] END base_estimator__max_depth=3, 0.035, 200, 0.767, 45.8s
[CV 27/30] END base_estimator__max_depth=3, 0.035, 200, 0.763, 46.3s
[CV 28/30] END base_estimator__max_depth=3, 0.035, 200, 0.737, 46.3s
[CV 29/30] END base_estimator__max_depth=3, 0.035, 200, 0.742, 46.5s
[CV 30/30] END base_estimator__max_depth=3, 0.035, 200, 0.749, 46.3s
[CV 1/30] END base_estimator__max_depth=3, 0.035, 225, 0.759, 49.7s
[CV 2/30] END base_estimator__max_depth=3, 0.035, 225, 0.750, 50.3s
[CV 3/30] END base_estimator__max_depth=3, 0.035, 225, 0.753, 50.4s
[CV 4/30] END base_estimator__max_depth=3, 0.035, 225, 0.747, 51.1s
[CV 5/30] END base_estimator__max_depth=3, 0.035, 225, 0.770, 51.0s
[CV 6/30] END base_estimator__max_depth=3, 0.035, 225, 0.737, 55.2s
[CV 7/30] END base_estimator__max_depth=3, 0.035, 225, 0.744, 55.1s
[CV 8/30] END base_estimator__max_depth=3, 0.035, 225, 0.749, 54.4s
[CV 10/30] END base_estimator__max_depth=3, 0.035, 225, 0.743, 53.8s
[CV 9/30] END base_estimator__max_depth=3, 0.035, 225, 0.772, 54.1s
[CV 11/30] END base_estimator__max_depth=3, 0.035, 225, 0.777, 54.8s
[CV 12/30] END base_estimator__max_depth=3, 0.035, 225, 0.746, 55.7s
[CV 13/30] END base_estimator__max_depth=3, 0.035, 225, 0.769, 56.0s
[CV 15/30] END base_estimator__max_depth=3, 0.035, 225, 0.767, 56.3s
[CV 14/30] END base_estimator__max_depth=3, 0.035, 225, 0.767, 57.1s
[CV 16/30] END base_estimator__max_depth=3, 0.035, 225, 0.740,1.0min
[CV 17/30] END base_estimator__max_depth=3, 0.035, 225, 0.734,1.0min
